"filename", "language", "Vue.js", "JavaScript", "Markdown", "JSON", "SCSS", "CSS", "HTML", "XML", "Less", "Pug", "comment", "blank", "total"
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\images\tiles.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 0, 16
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\images\trello-logo-white-orange.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\images\trello-logo-white.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\images\trello-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\buildings\Apartments.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 1, 107
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\buildings\Building_Cluster.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 225, 0, 0, 0, 1, 226
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\buildings\Large_Building.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 1, 106
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\buildings\Long_Building.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 1, 183
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\buildings\Medium_Business_Building.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 1, 95
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\buildings\School_Building.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 346, 0, 0, 0, 1, 347
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\buildings\Secure_Building.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 830, 0, 0, 0, 1, 831
